"encrpyted_course_id","encrpyted_etest_info_id","FINAL_SCORE","REG_DATE","scaled_score","prev_test","prev_2_test","prev_3_test","prev_4_test","prev_5_test","prev_6_test","prev_7_test","prev_8_test"
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528151651,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604150932,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611151735,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528150824,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604152113,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611152503,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200602125204,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604152724,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611153558,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528150907,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604151605,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611150359,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528150446,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604151753,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611151501,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611152231,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604155905,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528150816,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604151218,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611151007,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528150320,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604151829,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611152404,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604155322,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611150811,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611155849,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528150741,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604150457,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611151146,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604154456,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611152805,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","d9d7c8e94d9bb76b79b5eee6f0d59323",0,NULL,0,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528150703,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604152103,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611151855,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528151105,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604150609,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611150532,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528153051,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611150839,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528150647,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604150923,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611150612,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528150829,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604151730,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611150653,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528155009,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604152110,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611150730,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","46d75f5465d6b0b79dbc73cde421e3b9",10,20200528150521,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","c1e969523c94a8eac39d92994787c6b6",10,20200604152423,1,1,1,1,1,1,1,1,1
"702aa990245e380933ad995c44b2db78","8a7f3e1b8acdc02df9ab61eeb8a9b9bb",10,20200611151332,1,1,1,1,1,1,1,1,1
